event_id,date,date_precision,beach_id,lat,lon,species_group,species,count_class,stings,source_type,source_url,confidence,notes
2019-01-03-pereybere-1,2019-01-03,week,pereybere,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-grand_gaube-1,2019-01-03,week,grand_gaube,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-la_cuvette-1,2019-01-03,week,la_cuvette,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-flic_en_flac-1,2019-01-03,week,flic_en_flac,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-le_morne-1,2019-01-03,week,le_morne,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-01-03-belle_mare-1,2019-01-03,week,belle_mare,,,cubozoa,"Cubozoa (box jellyfish, unidentified)",many,,coastguard,https://defimedia.info/meduses-boites-dans-le-nord-attention-ces-venimeuses-guepes-de-mer,medium,"After the 1 Jan 2019 report the NCG confirmed box jellyfish at Trou-aux-Biches, Grand-Baie, Bain Boeuf, Mont-Choisy, Pereybere, Grand-Gaube, Roches-Noires; defimedia 'Après le littoral Nord' lists spread to La Cuvette, Flic-en-Flac, Le Morne, Poste-Lafayette, Belle-Mare. Day not given; first week of Jan 2019."
2019-02-24-belle_mare-1,2019-02-24,day,belle_mare,,,unknown,,unknown,,coastguard,https://defimedia.info/alerte-aux-meduses-dans-lest-de-lile-maurice,high,Afternoon of Sun 24 Feb 2019 near Ile aux Cerfs and Belle Mare beach; coastguard reminder.
2019-02-24-ile_aux_cerfs-1,2019-02-24,day,ile_aux_cerfs,,,unknown,,unknown,,coastguard,https://defimedia.info/alerte-aux-meduses-dans-lest-de-lile-maurice,high,Afternoon of Sun 24 Feb 2019 near Ile aux Cerfs and Belle Mare beach; coastguard reminder.
2019-03-01-mont_choisy-1,2019-03-01,day,mont_choisy,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/348553/mon-choisy-et-trou-aux-biches-attention-aux-meduses,medium,NCG: jellyfish appeared in Mon Choisy and Trou-aux-Biches lagoons Fri 1 Mar; year 2019 inferred from weekday and article id sequence.
2019-03-01-trou_aux_biches-1,2019-03-01,day,trou_aux_biches,,,unknown,,unknown,,coastguard,https://lexpress.mu/article/348553/mon-choisy-et-trou-aux-biches-attention-aux-meduses,medium,NCG: jellyfish appeared in Mon Choisy and Trou-aux-Biches lagoons Fri 1 Mar; year 2019 inferred from weekday and article id sequence.
2019-09-11-belle_mare-1,2019-09-11,day,belle_mare,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/actualites/societe/belle-mare-presence-de-meduses-dans-le-lagon/300356/,medium,NCG detected jellyfish Wed 11 Sep; year 2019 inferred from weekday and article id sequence.
2019-09-22-belle_mare-1,2019-09-22,day,belle_mare,,,unknown,,unknown,,hospital,https://www.tripadvisor.com/ShowTopic-g293816-i9265-k12202224-o20-Alert_Box_Jelly_fish-Mauritius.html,medium,"Sun 22 Sep 2019 Belle Mare lagoon; sting cases treated at Flacq hospital, per press item quoted in the Tripadvisor thread."
2019-10-24-riviere_noire-1,2019-10-24,day,riviere_noire,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/actualites/riviere-noire-presence-de-meduses-relevee-dans-le-lagon/307745/,high,Jellyfish detected Thu 24 Oct 2019 in the Riviere Noire lagoon.
2019-11-22-pereybere-1,2019-11-22,day,pereybere,,,unknown,"small dark-blue surface drifter, unidentified",many,,coastguard,https://www.lemauricien.com/actualites/presence-de-meduses-a-pereybere-mont-choisy-et-grand-gaube/312530/,high,"NCG detected jellyfish Fri 22 Nov 2019 at Pereybere, Mont Choisy and Grand Gaube. lexpress 365819 (23 Nov 2019): unidentified coin-sized dark-blue jellyfish also at Mont-Choisy and Grand-Baie, at least six victims with severe burns treated in clinics; NCG officer and a Grand-Baie skipper attribute the arrival to wind from the north ('from the equator'). Follow-up lexpress 365880 (24 Nov 2019) describes chondrophores (Porpita, Velella) on beaches. Candidate species: Physalia utriculus or chondrophores; treat as a wind-driven surface drifter event."
2019-11-22-mont_choisy-1,2019-11-22,day,mont_choisy,,,unknown,"small dark-blue surface drifter, unidentified",many,,coastguard,https://www.lemauricien.com/actualites/presence-de-meduses-a-pereybere-mont-choisy-et-grand-gaube/312530/,high,"NCG detected jellyfish Fri 22 Nov 2019 at Pereybere, Mont Choisy and Grand Gaube. lexpress 365819 (23 Nov 2019): unidentified coin-sized dark-blue jellyfish also at Mont-Choisy and Grand-Baie, at least six victims with severe burns treated in clinics; NCG officer and a Grand-Baie skipper attribute the arrival to wind from the north ('from the equator'). Follow-up lexpress 365880 (24 Nov 2019) describes chondrophores (Porpita, Velella) on beaches. Candidate species: Physalia utriculus or chondrophores; treat as a wind-driven surface drifter event."
2019-11-22-grand_gaube-1,2019-11-22,day,grand_gaube,,,unknown,"small dark-blue surface drifter, unidentified",many,,coastguard,https://www.lemauricien.com/actualites/presence-de-meduses-a-pereybere-mont-choisy-et-grand-gaube/312530/,high,"NCG detected jellyfish Fri 22 Nov 2019 at Pereybere, Mont Choisy and Grand Gaube. lexpress 365819 (23 Nov 2019): unidentified coin-sized dark-blue jellyfish also at Mont-Choisy and Grand-Baie, at least six victims with severe burns treated in clinics; NCG officer and a Grand-Baie skipper attribute the arrival to wind from the north ('from the equator'). Follow-up lexpress 365880 (24 Nov 2019) describes chondrophores (Porpita, Velella) on beaches. Candidate species: Physalia utriculus or chondrophores; treat as a wind-driven surface drifter event."
2019-11-22-grand_baie-1,2019-11-22,day,grand_baie,,,unknown,"small dark-blue surface drifter, unidentified",many,,coastguard,https://lexpress.mu/article/365819/lagon-mysterieuses-meduses-font-victimes-dans-nord,high,"NCG detected jellyfish Fri 22 Nov 2019 at Pereybere, Mont Choisy and Grand Gaube. lexpress 365819 (23 Nov 2019): unidentified coin-sized dark-blue jellyfish also at Mont-Choisy and Grand-Baie, at least six victims with severe burns treated in clinics; NCG officer and a Grand-Baie skipper attribute the arrival to wind from the north ('from the equator'). Follow-up lexpress 365880 (24 Nov 2019) describes chondrophores (Porpita, Velella) on beaches. Candidate species: Physalia utriculus or chondrophores; treat as a wind-driven surface drifter event."
2019-11-23-mont_choisy-2,2019-11-23,day,mont_choisy,,,unknown,,many,12,hospital,https://www.lemauricien.com/featured/ce-matin-douze-cas-de-piqures-de-meduse-rapportes/312625/,medium,Twelve sting cases reported on the morning of Sat 23 Nov 2019 in the north; attribution to Mont Choisy follows the companion article; year inferred from article id sequence.
2020-01-20-ile_aux_benitiers-1,2020-01-20,day,ile_aux_benitiers,,,unknown,,unknown,,coastguard,https://defimedia.info/ile-aux-benitiers-alerte-aux-meduses,high,NCG officers reported jellyfish in the lagoon Mon 20 Jan 2020. Also zinfos-moris a12107.
2020-02-19-pereybere-1,2020-02-19,day,pereybere,,,unknown,,unknown,,coastguard,,low,NCG noted jellyfish at Pereybere and Blue-Bay Wed 19 Feb; year 2020 inferred from weekday and search context; source URL not captured. An NCG officer also reported unidentified jellyfish at Mont-Choisy and Grand-Baie.
2020-02-19-blue_bay-1,2020-02-19,day,blue_bay,,,unknown,,unknown,,coastguard,,low,NCG noted jellyfish at Pereybere and Blue-Bay Wed 19 Feb; year 2020 inferred from weekday and search context; source URL not captured. An NCG officer also reported unidentified jellyfish at Mont-Choisy and Grand-Baie.
2020-07-02-blue_bay-1,2020-07-02,day,blue_bay,,,unknown,,unknown,,coastguard,https://defimedia.info/blue-bay-alerte-aux-meduses,medium,Police reported jellyfish in Blue Bay lagoon Thu 2 Jul; NCG patrols; year 2020 inferred from weekday and search context.
2020-07-07-belle_mare-1,2020-07-07,day,belle_mare,,,unknown,,unknown,,coastguard,,low,Jellyfish reported in Belle-Mare lagoon Tue 7 Jul; year 2020 inferred from weekday and search context; source URL not captured.
2021-09-08-belle_mare-1,2021-09-08,day,belle_mare,,,unknown,,unknown,,social,https://lexpress.mu/s/article/399002/info-pratique-alerte-aux-meduses,medium,"Reader photo of jellyfish near Belle-Mare Wed 8 Sep 2021, published by lexpress; not an NCG alert."
2021-10-31-mont_choisy-1,2021-10-31,day,mont_choisy,,,unknown,,unknown,,coastguard,https://defimedia.info/mont-choisy-la-presence-de-meduses-dans-le-lagon-signalee,medium,"NCG signalled jellyfish Sun 31 Oct, swimming not recommended; year 2021 inferred from weekday."
2022-01-28-trou_aux_biches-1,2022-01-28,day,trou_aux_biches,,,unknown,,unknown,,coastguard,https://defimedia.info/alerte-aux-meduses-sur-la-plage-de-trou-aux-biches-et-mont-choisy,medium,"Police statement Fri 28 Jan on jellyfish in northern lagoons, swimming discouraged; year 2022 inferred from weekday and the Flic-en-Flac alert the next day."
2022-01-28-mont_choisy-1,2022-01-28,day,mont_choisy,,,unknown,,unknown,,coastguard,https://defimedia.info/alerte-aux-meduses-sur-la-plage-de-trou-aux-biches-et-mont-choisy,medium,"Police statement Fri 28 Jan on jellyfish in northern lagoons, swimming discouraged; year 2022 inferred from weekday and the Flic-en-Flac alert the next day."
2022-01-29-flic_en_flac-1,2022-01-29,day,flic_en_flac,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/actualites/societe/presence-de-meduses-signalee-a-flic-en-flac/471339/,high,NCG detected jellyfish Sat 29 Jan 2022 between Shivala and Pearl Beach. Also mbcradio.tv and actu.mu.
2022-08-14-belle_mare-1,2022-08-14,day,belle_mare,,,unknown,,unknown,,coastguard,https://www.topfm.mu/2022/08/14/a-belle-mare-attention-aux-meduses/,high,Jellyfish spotted in Belle-Mare lagoon Sun 14 Aug 2022.
2022-08-23-belle_mare-1,2022-08-23,day,belle_mare,,,unknown,,many,,coastguard,https://www.lexpress.mu/article/412714/presence-dans-nos-eaux-une-proliferation-meduses-invite-prudence,high,Latest police alert Tue 23 Aug 2022 at Belle-Mare after weeks of sightings described as a proliferation; oceanographer V. Kauppaymuthoo cites temperature rise and plankton bloom.
2022-09-26-la_preneuse-1,2022-09-26,day,la_preneuse,,,unknown,,unknown,,coastguard,https://defimedia.info/la-preneuse-alerte-aux-meduses,high,NCG reported jellyfish at La Preneuse on Monday; published 26 Sep 2022. Also zinfos-moris a31831.
2022-10-23-belle_mare-1,2022-10-23,day,belle_mare,,,unknown,,unknown,,coastguard,https://www.topfm.mu/2022/10/23/a-belle-mare-attention-aux-meduses-3/,high,NCG reported jellyfish in Belle-Mare lagoon Sun 23 Oct 2022.
2022-11-06-mont_choisy-1,2022-11-06,day,mont_choisy,,,unknown,,unknown,,coastguard,https://defimedia.info/presence-de-meduses-dans-les-lagons-de-mont-choisy-et-trou-aux-biches,high,Jellyfish reported in Mont Choisy and Trou-aux-Biches lagoons Sun 6 Nov 2022.
2022-11-06-trou_aux_biches-1,2022-11-06,day,trou_aux_biches,,,unknown,,unknown,,coastguard,https://defimedia.info/presence-de-meduses-dans-les-lagons-de-mont-choisy-et-trou-aux-biches,high,Jellyfish reported in Mont Choisy and Trou-aux-Biches lagoons Sun 6 Nov 2022.
2024-05-10-la_cambuse-1,2024-05-10,day,la_cambuse,,,unknown,,unknown,,coastguard,https://www.lemauricien.com/actualites/societe/la-cambuse-presence-de-meduse-signalee/634175/,medium,Police communications statement: jellyfish along La Cambuse public beach Fri 10 May; year 2024 inferred from weekday and article id sequence.
2024-12-25-trou_aux_biches-1,2024-12-25,day,trou_aux_biches,,,unknown,,many,,hospital,https://www.lemauricien.com/actualites/faits-divers/trou-aux-biches-et-mon-choisy-presence-de-meduse-signalee/661048/,medium,"Several swimmers in the north stung on 25 Dec 2024 despite a warning issued that day; treated at SSRN hospital, Pamplemousses. Beach attribution from the 26 Dec NCG alert."
2024-12-26-trou_aux_biches-2,2024-12-26,day,trou_aux_biches,,,unknown,,many,,coastguard,https://www.lemauricien.com/actualites/faits-divers/trou-aux-biches-et-mon-choisy-presence-de-meduse-signalee/661048/,high,NCG signalled jellyfish along Trou-aux-Biches and Mon Choisy public beaches Thu 26 Dec 2024. Also defimedia presence-de-meduses-mon-choisy-et-trou-aux-biches-vigilance-recommandee.
2024-12-25-mont_choisy-1,2024-12-25,day,mont_choisy,,,unknown,,many,,hospital,https://www.lemauricien.com/actualites/faits-divers/trou-aux-biches-et-mon-choisy-presence-de-meduse-signalee/661048/,medium,"Several swimmers in the north stung on 25 Dec 2024 despite a warning issued that day; treated at SSRN hospital, Pamplemousses. Beach attribution from the 26 Dec NCG alert."
2024-12-26-mont_choisy-2,2024-12-26,day,mont_choisy,,,unknown,,many,,coastguard,https://www.lemauricien.com/actualites/faits-divers/trou-aux-biches-et-mon-choisy-presence-de-meduse-signalee/661048/,high,NCG signalled jellyfish along Trou-aux-Biches and Mon Choisy public beaches Thu 26 Dec 2024. Also defimedia presence-de-meduses-mon-choisy-et-trou-aux-biches-vigilance-recommandee.
2025-01-03-mont_choisy-1,2025-01-03,day,mont_choisy,,,unknown,,unknown,,coastguard,https://newsmoris.com/2025/01/03/caution-jellyfish-detected-in-mon-choisy-lagoon/,high,Police communication unit statement Fri 3 Jan 2025: NCG reported jellyfish in Mont Choisy lagoon.
2025-01-04-mont_choisy-1,2025-01-04,day,mont_choisy,,,unknown,,many,,coastguard,https://inside.news/2025/01/04/meduses-signalees-a-mon-choisy-et-trou-aux-biches-la-ncg-appelle-a-la-prudence/,high,"NCG alert on a proliferation of jellyfish in Mon-Choisy and Trou-aux-Biches lagoons, 4 Jan 2025."
2025-01-04-trou_aux_biches-1,2025-01-04,day,trou_aux_biches,,,unknown,,many,,coastguard,https://inside.news/2025/01/04/meduses-signalees-a-mon-choisy-et-trou-aux-biches-la-ncg-appelle-a-la-prudence/,high,"NCG alert on a proliferation of jellyfish in Mon-Choisy and Trou-aux-Biches lagoons, 4 Jan 2025."
2025-01-05-belle_mare-1,2025-01-05,week,belle_mare,,,unknown,,unknown,,press,https://lexpress.mu/s/appel-a-la-vigilance-541353,medium,"'In recent days' before 7 Jan 2025, jellyfish seen at Mont-Choisy, Trou-aux-Biches, Belle-Mare and Blue-Bay; day not given."
2025-01-05-blue_bay-1,2025-01-05,week,blue_bay,,,unknown,,unknown,,press,https://lexpress.mu/s/appel-a-la-vigilance-541353,medium,"'In recent days' before 7 Jan 2025, jellyfish seen at Mont-Choisy, Trou-aux-Biches, Belle-Mare and Blue-Bay; day not given."
2025-01-07-flic_en_flac-1,2025-01-07,day,flic_en_flac,,,unknown,,unknown,,coastguard,https://defimedia.info/des-meduses-dans-le-lagon-de-flic-en-flac,high,"NCG observed jellyfish in Flic-en-Flac lagoon Tue 7 Jan 2025. Also lexpress 541353, linfo.re, Tripadvisor thread k15049831 (posted 7 Jan 2025)."
2025-01-14-belle_mare-1,2025-01-14,day,belle_mare,,,unknown,,unknown,,coastguard,https://defimedia.info/belle-mare-alerte-aux-meduses-3,medium,NCG reported jellyfish in Belle-Mare lagoon Tue 14 Jan; year 2025 per search summary and weekday.
2025-01-16-mont_choisy-1,2025-01-16,week,mont_choisy,,,unknown,,unknown,,press,https://5plus.mu/quand-les-meduses-piquent-et-les-murs-choquent-20250116-1251,low,5-Plus feature (16 Jan 2025) on stings at Mont-Choisy; sting dates not in snippet.
2025-03-20-albion-1,2025-03-20,day,albion,,,unknown,,unknown,,coastguard,https://defimedia.info/albion-alerte-aux-meduses,low,"Police Press Office statement Thu 20 Mar: NCG reported jellyfish in Albion lagoon; year 2025 or 2014 by weekday, 2025 assumed; verify on page."
